00762元大全球 AI,,,,,,,,2363矽統,,,,,,,,1701中化,,,,,,,,2303聯電,,,,,,,,2471資通,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume
2019/6/1,30.950001,31.6,30.5,31.549999,29.511986,1966134,,2019/6/1,12.2,13.1,12.1,13.05,12.411554,317127580,,2019/6/1,18.5,20.75,17.85,19.700001,19.450283,12110296,,2019/6/1,27.700001,28.25,27.4,28,27.410526,701430,,2019/6/1,44.650002,45.389999,43.91,45.25,44.190647,64692987
2019/7/1,31.700001,32.400002,30.25,31.15,29.137825,6194770,,2019/7/1,13,13.1,12.4,12.4,11.793353,432067672,,2019/7/1,20.25,23.049999,19.6,20.25,19.993309,26054880,,2019/7/1,28.15,29.549999,27.950001,28.1,27.508421,1475341,,2019/7/1,45.18,46.279999,44.75,45.290001,44.22971,5252983
2019/8/1,31.5,35.799999,29.799999,34.700001,34.700001,19039948,,2019/8/1,12.35,12.55,11.7,11.85,11.85,424552865,,2019/8/1,20.15,20.85,18.299999,20.4,20.141409,11724935,,2019/8/1,27.9,28.1,26.700001,26.950001,26.950001,1648943,,2019/8/1,45.619999,49,45.619999,48.540001,47.840466,2308865
2019/9/1,34.799999,36.099998,33.299999,33.599998,33.599998,13439950,,2019/9/1,11.85,12.65,11.8,12.1,12.1,316207546,,2019/9/1,20.65,21.9,19.200001,19.299999,19.055351,12951401,,2019/9/1,26.85,28.9,26.85,28.35,28.35,1220379,,2019/9/1,48.639999,48.650002,45.939999,47.189999,46.509918,2706809
2019/10/1,33.599998,34.200001,31.799999,33.400002,33.400002,7127942,,2019/10/1,12.2,12.6,12,12.5,12.5,219780122,,2019/10/1,19.5,20.85,19.049999,19.4,19.4,5829548,,2019/10/1,28.5,29.25,27.299999,28.5,28.5,910547,,2019/10/1,47.119999,47.639999,45.349998,45.900002,45.23851,5092662
2019/11/1,33.349998,33.900002,32,32,32,4537501,,2019/11/1,12.5,13.1,12.5,12.85,12.85,257441926,,2019/11/1,19.450001,19.85,18,18.5,18.5,4602229,,2019/11/1,28.5,28.65,26.35,26.799999,26.799999,1582537,,2019/11/1,46.09,46.639999,45.200001,46.52,46.167805,1843065
2019/12/1,32,33.349998,31.9,32.75,32.75,4015915,,2019/12/1,12.85,13.35,12.75,13,13,308584762,,2019/12/1,18.799999,21.35,18,20.299999,20.299999,19543741,,2019/12/1,26.799999,26.799999,25.25,25.4,25.4,1229532,,2019/12/1,46.380001,46.68,45.66,46.060001,45.711288,2037244
2020/1/1,32.75,33.75,30.85,31.299999,31.299999,4289063,,2020/1/1,13,13.5,12.8,12.9,12.9,302969622,,2020/1/1,20.299999,20.450001,17.15,17.75,17.75,6349075,,2020/1/1,25.4,30.15,25.25,30.15,30.15,4334600,,2020/1/1,46.060001,47.900002,45.709999,47.580002,47.21978,1804324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
